Edad,Hombres,Mujeres,Categoría
0-4,-1.9018332515828777,1.7995187883914734,Población española
5-9,-2.4111424058596285,2.2773440011477497,Población española
10-14,-2.7852938275448857,2.626922590426783,Población española
15-19,-2.7219777657838953,2.5885060767202748,Población española
20-24,-2.5047667097645148,2.3731241513739896,Población española
25-29,-2.4530669394098439,2.3375741501434399,Población española
30-34,-2.6098689875020056,2.5131921578323708,Población española
35-39,-3.0079731972975225,2.968638541075836,Población española
40-44,-3.8423453433051717,3.8027221280072863,Población española
45-49,-4.1962928600850011,4.1531973967297144,Población española
50-54,-3.9827996850556544,4.0071101910289704,Población española
55-59,-3.7669360329871195,3.8887675827868837,Población española
60-64,-3.3307420251333526,3.5338542277768017,Población española
65-69,-2.7141485141544668,2.9854536654252426,Población española
70-74,-2.3231605050480191,2.7063955756691565,Población española
75-79,-1.8559523584672581,2.354296267848452,Población española
80-84,-1.181065144524694,1.7179996569724172,Población española
85-89,-0.85256806130845375,1.5023577899789777,Población española
90-94,-0.33651473292021211,0.75680937415399729,Población española
95-99,-0.068719986278896694,0.21263465215801169,Población española
100+,-0.010335661456577536,0.036077038882119279,Población española
0-4,-2.3850193363367977,2.2641266391144614,Población extranjera
5-9,-2.5135253328022067,2.3739962893284638,Población extranjera
10-14,-2.3104919923246396,2.1617981241696631,Población extranjera
15-19,-2.3914780119979824,2.0246144098466301,Población extranjera
20-24,-3.4738474150503742,3.2123612557397418,Población extranjera
25-29,-4.5912163454287374,4.7324412422883775,Población extranjera
30-34,-5.2253392248001598,5.666152859172727,Población extranjera
35-39,-5.4577974256223962,5.8392201095016141,Población extranjera
40-44,-5.6397047627501111,5.3766309960143834,Población extranjera
45-49,-4.6906041784384147,4.2583239339757366,Población extranjera
50-54,-3.6009101320384231,3.422647075591041,Población extranjera
55-59,-2.5311333424259939,2.571003937988054,Población extranjera
60-64,-1.8080503242688166,1.9812258205585058,Población extranjera
65-69,-1.3312809899165279,1.5194846337642245,Población extranjera
70-74,-0.98583204701049909,1.1179101601823729,Población extranjera
75-79,-0.65008915858971394,0.7108692655800215,Población extranjera
80-84,-0.3517993726064112,0.39033493465191349,Población extranjera
85-89,-0.13597496776074466,0.17191262674699961,Población extranjera
90-94,-0.039924718542460921,0.064658920585711682,Población extranjera
95-99,-0.0068555775174582697,0.016218853126828907,Población extranjera
100+,-0.00086596768641578135,0.0023272881572424125,Población extranjera
